Wall time,Step,Value_gray,Value
1559537067,0,0.661602974,0.697170496
1559537402,1,0.484987855,0.481311113
1559537704,2,0.433382899,0.427273899
1559538005,3,0.408143789,0.401992291
1559538304,4,0.390692919,0.392600536
1559538604,5,0.377308786,0.383031726
1559538905,6,0.36090067,0.367276043
1559539205,7,0.354227304,0.362892717
1559539501,8,0.34787935,0.352687001
1559539803,9,0.338774353,0.353351861
1559540101,10,0.330232531,0.338149697
1559540400,11,0.325784385,0.336701185
1559540700,12,0.318854749,0.3237243
1559540998,13,0.314501256,0.345432162
1559541295,14,0.315348148,0.316936433
1559541598,15,0.310283184,0.315260679
1559541901,16,0.298320115,0.324746072
1559542198,17,0.294047058,0.311796367
1559542499,18,0.293530494,0.303221017
1559542794,19,0.293845087,0.308702618
1559543093,20,0.286660224,0.297460139
1559543392,21,0.28003037,0.304449588
1559543687,22,0.281977177,0.302766651
1559543987,23,0.273907632,0.300603986
1559544284,24,0.269929618,0.292932987
1559544580,25,0.266042262,0.292715609
1559544881,26,0.273959994,0.296202779
1559545179,27,0.268194497,0.295384824
1559545478,28,0.262655824,0.287815243
1559545778,29,0.262524843,0.280411869
1559546076,30,0.26145345,0.283013999
1559546377,31,0.255956471,0.289279044
1559546677,32,0.254888386,0.287418127
1559546976,33,0.252262175,0.27422899
1559547277,34,0.253008395,0.280122548
1559547577,35,0.251343429,0.273279339
1559547879,36,0.244445413,0.282723457
1559548178,37,0.247223884,0.268023282
1559548479,38,0.24033463,0.267845303
1559548777,39,0.240695566,0.269071817
1559549215,40,0.228611171,0.248538867
1559549579,41,0.215259746,0.241351292
1559549942,42,0.210535899,0.226121098
1559550304,43,0.207296938,0.218691066
1559550663,44,0.203942508,0.223024875
1559551026,45,0.199481323,0.220946386
1559551389,46,0.196419984,0.217684731
1559551749,47,0.191916719,0.20756869
1559552110,48,0.19047682,0.212926939
1559552470,49,0.186582208,0.20982556
1559552834,50,0.186560735,0.205366418
1559553193,51,0.185755059,0.207731202
1559553554,52,0.18275319,0.20194228
1559553916,53,0.182854548,0.208421186
1559554279,54,0.18073675,0.201837763
1559554638,55,0.181715146,0.201315716
1559554996,56,0.177275673,0.201603994
1559555358,57,0.176127046,0.19910787
1559555721,58,0.173868626,0.19737041
1559556080,59,0.17227301,0.195339099
1559556442,60,0.173246324,0.186707571
1559556803,61,0.168965921,0.197403088
1559557163,62,0.17220217,0.193335369
1559557522,63,0.166969046,0.190710559
1559557880,64,0.168381795,0.186356768
1559558237,65,0.162036896,0.185340121
1559558593,66,0.161697119,0.184880301
1559558955,67,0.163192824,0.191057146
1559559309,68,0.162252888,0.185603797
1559559666,69,0.157217383,0.182826802
1559560020,70,0.157680914,0.183664873
1559560374,71,0.159281224,0.180979863
1559560731,72,0.156347021,0.183490753
1559561088,73,0.157191306,0.175692976
1559561443,74,0.155805424,0.179713294
1559561797,75,0.151505277,0.179234371
1559562151,76,0.152846232,0.183884829
1559562510,77,0.152448803,0.175501779
1559562862,78,0.151898295,0.175648868
1559563214,79,0.150551036,0.172437727
1559563571,80,0.14919053,0.173584402
1559563931,81,0.149172515,0.174794659
1559564283,82,0.147535473,0.171794593
1559564637,83,0.146414772,0.168563426
1559564992,84,0.146797925,0.170481548
1559565348,85,0.148458585,0.173628762
1559565702,86,0.149855331,0.16398491
1559566054,87,0.148559704,0.161687165
